,city,state,country,lat,lng,localtime,tz_id,last_updated,temp_c,condition,wind_mph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,vis_km,uv,gust_mph
55,Baranagar,West Bengal,India,22.64,88.37,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,32.0,"['Moderate or heavy rain with thunder', 1276, '//cdn.weatherapi.com/weather/64x64/day/389.png']",10.5,90,E,1005.0,29.68,0.2,0.01,75,75,39.3,2.8,7.0,18.1
56,Barasat,West Bengal,India,22.68,88.44,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,32.0,"['Moderate or heavy rain with thunder', 1276, '//cdn.weatherapi.com/weather/64x64/day/389.png']",10.5,90,E,1005.0,29.68,0.1,0.0,75,75,39.3,2.8,7.0,17.4
57,Baraut,Uttar Pradesh,India,29.1,77.27,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,30.1,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",15.7,106,ESE,1005.0,29.68,0.0,0.0,74,40,36.1,10.0,8.0,19.9
58,Barddhaman,West Bengal,India,23.24,87.87,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,33.1,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",14.3,119,ESE,1005.0,29.68,0.2,0.01,61,66,40.1,10.0,7.0,18.6
59,Bareilly,Uttar Pradesh,India,28.35,79.42,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,30.6,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",10.7,83,E,1006.0,29.7,0.2,0.01,70,77,36.5,9.0,7.0,14.5
60,Baripada,Orissa,India,21.94,86.72,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,29.8,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",11.0,138,SE,1004.0,29.66,1.1,0.04,80,100,36.7,10.0,6.0,20.6
61,Barnala,Punjab,India,30.38,75.55,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,31.0,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",13.0,116,ESE,1004.0,29.65,0.1,0.0,68,67,36.9,10.0,7.0,16.1
62,Barshi,Martvilis Raioni,Georgia,43.05,42.52,2023-07-22 8:54,Asia/Tbilisi,2023-07-22 08:45,18.7,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",2.2,199,SSW,1017.0,30.03,0.0,0.0,89,16,18.7,10.0,5.0,0.2
63,Basirhat,West Bengal,India,22.66,88.89,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,32.0,"['Moderate or heavy rain with thunder', 1276, '//cdn.weatherapi.com/weather/64x64/day/389.png']",10.5,90,E,1005.0,29.68,0.3,0.01,75,75,40.7,2.8,7.0,18.1
64,Basti,Uttar Pradesh,India,26.8,82.72,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,34.7,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",19.0,101,ESE,1005.0,29.67,0.0,0.0,51,100,41.0,10.0,7.0,21.9
65,Batala,Punjab,India,31.82,75.2,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,26.0,"['Moderate or heavy rain with thunder', 1276, '//cdn.weatherapi.com/weather/64x64/day/389.png']",9.4,70,ENE,1007.0,29.74,0.7,0.03,94,100,28.1,3.0,7.0,20.8
66,Beawar,Rajasthan,India,26.1,74.32,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,32.3,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",5.1,331,NNW,1004.0,29.64,0.0,0.0,59,41,37.7,10.0,8.0,5.8
67,Begusarai,Bihar,India,25.42,86.13,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,34.0,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",18.1,103,ESE,1005.0,29.69,0.0,0.0,55,100,40.6,10.0,7.0,21.0
68,Belgaum,Karnataka,India,15.87,74.5,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,22.4,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",17.0,261,W,1010.0,29.82,0.1,0.0,85,93,24.7,10.0,5.0,20.6
69,Bellary,Karnataka,India,15.15,76.93,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,25.8,"['Cloudy', 1006, '//cdn.weatherapi.com/weather/64x64/day/119.png']",20.8,267,W,1009.0,29.79,0.0,0.0,69,75,27.5,10.0,6.0,23.9
70,Bengaluru,Karnataka,India,12.98,77.58,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,26.0,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",13.6,250,WSW,1013.0,29.91,0.0,0.0,84,75,27.2,8.0,5.0,25.7
71,Bettiah,Bihar,India,26.8,84.5,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,30.5,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/night/116.png']",13.2,100,E,1004.0,29.65,0.0,0.0,66,28,35.3,10.0,1.0,19.2
72,Betul,Madhya Pradesh,India,21.86,77.93,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,25.3,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",7.4,309,NW,1003.0,29.6,0.5,0.02,92,100,28.4,10.0,6.0,11.4
73,Bhadrak,Orissa,India,21.05,86.52,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,31.8,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",10.1,131,SE,1003.0,29.63,0.9,0.04,67,100,38.7,10.0,7.0,18.3
