city,latitude,longitude,temperature,humidity
Nagaon,17.47,73.62,34.7,47
Nagapattinam,10.77,79.83,33.8,62
Nagaur,27.2,73.73,39.7,29
Nagda,23.45,75.42,38.7,28
Nagercoil,8.19,77.43,28.6,75
Nagpur,21.15,79.1,41.1,21
Naihati,22.9,88.42,25.5,97
Nalgonda,17.05,79.27,38.8,30
Nanded,19.15,77.33,40.3,25
Nandurbar,21.37,74.25,37.1,32
Nandyal,15.48,78.48,35.2,48
Nangloi Jat,28.68,77.07,35.2,39
Narasaraopet,16.25,80.07,37.9,40
Mumbai,18.98,72.83,32.7,61
Mumbai,18.98,72.83,32.7,61
Navsari,20.85,72.92,32.5,62
Neemuch,24.48,74.87,37.8,34
Nellore,14.43,79.97,37.7,40
New Delhi,28.6,77.2,34.0,44
Neyveli,11.53,79.48,36.2,45
Nizamabad,18.67,78.12,38.7,28
Noida,28.57,77.32,34.0,45
North Berwick,56.05,-2.73,17.3,68
Dum-Dum,13.2,15.38,41.2,18
Ongole,15.5,80.05,38.5,36
Orai,25.98,79.47,37.2,33
Osmanabad,18.17,76.05,36.8,26
Palakkad,10.77,76.65,27.5,81
Palanpur,24.17,72.43,39.2,37
Pali,25.77,73.33,40.0,30
Pallavaram,12.98,80.18,37.0,45
Palwal,28.15,77.33,34.3,47
Panihati,22.69,88.37,25.0,97
Panipat,29.39,76.97,31.9,53
Panvel,18.98,73.1,33.8,56
Parbhani,19.27,76.78,40.2,21
Patan,23.83,72.12,39.3,35
Pathankot,32.28,75.65,32.7,35
Patiala,30.33,76.4,34.6,39
Patna,25.6,85.12,30.0,68
Pilibhit,28.63,79.8,32.2,45
Chinchwad,18.62,73.78,33.5,43
Porbandar,21.63,69.6,32.1,65
Port Blair,11.67,92.75,29.0,76
Proddatur,14.73,78.55,36.2,42
Puducherry,11.93,79.83,32.0,71
Pudukkottai,10.38,78.82,36.2,45
Pune,18.53,73.87,34.0,41
Puri,19.8,85.85,27.0,95
Purnia,25.78,87.47,31.0,68
Puruliya,23.33,86.37,28.7,76
Rae Bareli,26.22,81.23,35.2,40
Raichur,16.2,77.37,36.9,37
